Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,Title Points,Total Points,Country Part
1,Unnamed: 1_level_1,Real Madrid,Esp,29.00,33.00,33.00,32.00,19.00,17.00,26.00,30.00,29.00,21.00,94.00,363.000,37.936
2.0,,Bayern München,Ger,28.0,29.0,22.0,29.0,20.0,36.0,27.0,26.0,27.0,20.0,43.0,307.0,30.567
3.0,,FC Barcelona,Esp,34.0,26.0,23.0,25.0,30.0,24.0,20.0,15.0,9.0,17.0,41.0,264.0,37.936
4.0,,Manchester City,Eng,15.0,26.0,18.0,22.0,25.0,25.0,35.0,27.0,33.0,21.0,13.0,260.0,37.203
5.0,,Liverpool,Eng,10.0,22.0,,30.0,29.0,18.0,24.0,33.0,19.0,13.0,36.0,234.0,37.203
6.0,,Juventus,Ita,29.0,18.0,33.0,23.0,21.0,22.0,21.0,20.0,17.0,,17.0,221.0,31.601
7.0,,Atlético Madrid,Esp,22.0,28.0,29.0,28.0,20.0,22.0,16.0,19.0,8.0,19.0,7.0,218.0,37.936
8.0,,Paris Saint-Germain,Fra,21.0,24.0,20.0,19.0,19.0,31.0,24.0,19.0,19.0,15.0,2.0,213.0,24.132
9.0,,Chelsea,Eng,21.0,18.0,,18.0,30.0,17.0,33.0,25.0,21.0,,27.0,210.0,37.203
10.0,,Sevilla,Esp,28.0,23.0,19.0,21.0,13.0,26.0,19.0,12.0,21.0,6.0,16.0,204.0,37.936
11.0,,Manchester United,Eng,,13.0,26.0,20.0,19.0,22.0,26.0,18.0,19.0,7.0,23.0,193.0,37.203
12.0,,FC Porto,Por,25.0,11.0,17.0,17.0,23.0,7.0,23.0,10.0,18.0,17.0,16.0,184.0,20.276
13.0,,Borussia Dortmund,Ger,18.0,17.0,22.0,10.0,18.0,18.0,22.0,10.0,18.0,17.0,9.0,179.0,30.567
14.0,,AS Roma,Ita,12.0,14.0,13.0,25.0,17.0,11.0,24.0,23.0,22.0,11.0,,172.0,31.601
