Equipo,Goles
Bayern Munich,266
FC Barcelona,221
Manchester City,220
Real Madrid,220
Paris Saint-Germain,197
Liverpool,146
Chelsea,139
Atletico de Madrid,121
FC Porto,118
Juventus,114
Borussia Dortmund,103
Benfica,99
Napoli,88
Ajax,83
Shakhtar Donetsk,82
Arsenal,78
Tottenham,64
Manchester United,60
AS Roma,59
Sevilla,57
Leipzig,56
Bayer Leverkusen,52
Internazionale,51
Borussia Mönchengladbach,47
FC Zenit,46
CSKA Moscow,43
Salzburg,41
Atalanta,40
Dynamo Kyiv,37
Club Brugge,32
Sporting CP,30
PSV,30
Lyon,30
Olympiacos,29
FC Basel,29
Besiktas,24
Wolfsburg,24
Galatasaray,23
Valencia,22
AS Monaco,22
AC Milan,21
Celtic,21
Ludogorets Razgrad,21
Villarreal,20
Dinamo Zagreb,18
Lokomotiv Moskva,13
Rostov,13
Lazio,13
LOSC,12
Plzen,12
Hoffenheim,11
Young Boys,11
RB Leipzig,10
FC Schalke 04,10
Gent,10
Marseille,10
Spartak Moscow,9
Anderlecht,9
BATE Borisov,8
Crvena zvezda,8
Maribor,7
M. Haifa,7
Sheriff,7
Istanbul Basaksehir,7
Frankfurt,7
Krasnodar,6
Malmo FF,6
Astana,5
Genk,5
Ferencváros,5
Feyenoord,5
Leicester City,4
Slavia Praha,4
Midtjylland,4
Rennes,3
Apoel,3
Rangers,2
Qarabag,2
AEK,2
Athletic Bilbao,2
Copenhagen,1
Maccabi Tel Aviv,0
