Equipo,Puntos
Real Madrid,195
FC Barcelona,184
Bayern Munich,180
Paris Saint-Germain,150
Manchester City,146
Atletico de Madrid,131
Juventus,118
Chelsea,115
Liverpool,105
FC Porto,88
Napoli,67
Benfica,64
Borussia Dortmund,59
Arsenal,49
Manchester United,49
Tottenham,47
Ajax,44
Leipzig,40
Shakhtar Donetsk,39
Sevilla,37
Bayer Leverkusen,36
CSKA Moscow,32
FC Zenit,30
Man City,29
AS Roma,26
Bayern,24
Internazionale,24
Atalanta,21
Wolfsburg,21
Inter,21
Club Brugge,18
FC Basel,17
Salzburg,16
Valencia,15
Lyon,15
Borussia Mönchengladbach,15
Sporting CP,14
Villarreal,14
Milan,14
Besiktas,13
Paris,12
Dortmund,10
FC Schalke 04,10
Porto,10
Lazio,8
Gent,7
Frankfurt,6
LOSC,4
Sheriff,4
Barcelona,4
RB Leipzig,4
Olympiacos,4
Spartak Moscow,4
Dynamo Kyiv,3
Young Boys,2
Leicester City,2
Krasnodar,2
Leverkusen,2
Dinamo Zagreb,2
Atlético,2
AS Monaco,1
Rostov,1
Galatasaray,1
BATE Borisov,1
Celtic,1
Hoffenheim,0
Copenhagen,0
Astana,0
AC Milan,0
Marseille,0
Maribor,-1
M. Haifa,-2
Midtjylland,-2
Ludogorets Razgrad,-2
Istanbul Basaksehir,-2
Slavia Praha,-2
Qarabag,-2
Crvena zvezda,-2
Plzen,-2
Feyenoord,-2
PSV,-3
Genk,-4
Rennes,-4
Athletic Bilbao,-4
Lokomotiv Moskva,-4
Ferencváros,-4
Malmo FF,-4
Anderlecht,-4
Apoel,-5
Maccabi Tel Aviv,-6
Rangers,-6
AEK,-6
