Equipo,Puntos,Puntuacion UEFA,Puntuacion Ponderada
Real Madrid,195,363.0,558.0
Bayern Munich,204,307.0,511.0
FC Barcelona,188,264.0,452.0
Manchester City,175,262.0,437.0
Paris Saint-Germain,162,215.0,377.0
Liverpool,105,234.0,339.0
Juventus,118,221.0,339.0
Chelsea,115,210.0,325.0
FC Porto,98,184.0,282.0
Borussia Dortmund,69,179.0,248.0
Manchester United,49,193.0,242.0
Sevilla,37,204.0,241.0
Napoli,67,160.0,227.0
Arsenal,49,171.0,220.0
Benfica,64,148.0,212.0
Ajax,44,158.5,202.5
AS Roma,26,172.0,198.0
Internazionale,45,151.0,196.0
Shakhtar Donetsk,39,145.0,184.0
Bayer Leverkusen,38,140.0,178.0
Villarreal,14,151.0,165.0
AC Milan,14,114.0,128.0
FC Basel,17,106.5,123.5
RB Leipzig,4,118.0,122.0
Club Brugge,18,95.5,113.5
Atalanta,21,81.5,102.5
Lazio,8,93.0,101.0
Dynamo Kyiv,3,93.5,96.5
CSKA Moscow,32,57.0,89.0
AS Monaco,1,86.0,87.0
Besiktas,13,74.0,87.0
Feyenoord,-2,86.0,84.0
Dinamo Zagreb,2,77.5,79.5
Slavia Praha,-2,74.5,72.5
Valencia,15,57.0,72.0
Celtic,1,67.0,68.0
Borussia Mönchengladbach,15,52.0,67.0
Young Boys,2,62.0,64.0
Anderlecht,-4,63.5,59.5
Galatasaray,1,56.0,57.0
Ludogorets Razgrad,-2,53.0,51.0
Leicester City,2,45.0,47.0
Athletic Bilbao,-4,46.0,42.0
BATE Borisov,1,37.0,38.0
Istanbul Basaksehir,-2,39.5,37.5
Ferencváros,-4,38.5,34.5
Spartak Moscow,4,30.5,34.5
