Equipo,Goles,Puntos,Puntuacion UEFA,Puntuacion Ponderada
Real Madrid,220,195,363.0,558.0
Bayern Munich,266,204,307.0,511.0
FC Barcelona,221,188,264.0,452.0
Manchester City,220,175,262.0,437.0
Paris Saint-Germain,197,162,215.0,377.0
Liverpool,146,105,234.0,339.0
Juventus,114,118,221.0,339.0
Chelsea,139,115,210.0,325.0
FC Porto,118,98,184.0,282.0
Borussia Dortmund,103,69,179.0,248.0
Manchester United,60,49,193.0,242.0
Sevilla,57,37,204.0,241.0
Napoli,88,67,160.0,227.0
Arsenal,78,49,171.0,220.0
Benfica,99,64,148.0,212.0
Ajax,83,44,158.5,202.5
AS Roma,59,26,172.0,198.0
Internazionale,51,45,151.0,196.0
Shakhtar Donetsk,82,39,145.0,184.0
Bayer Leverkusen,52,38,140.0,178.0
Villarreal,20,14,151.0,165.0
AC Milan,21,14,114.0,128.0
FC Basel,29,17,106.5,123.5
RB Leipzig,10,4,118.0,122.0
Club Brugge,32,18,95.5,113.5
Atalanta,40,21,81.5,102.5
Lazio,13,8,93.0,101.0
Dynamo Kyiv,37,3,93.5,96.5
CSKA Moscow,43,32,57.0,89.0
AS Monaco,22,1,86.0,87.0
Besiktas,24,13,74.0,87.0
Feyenoord,5,-2,86.0,84.0
Dinamo Zagreb,18,2,77.5,79.5
Slavia Praha,4,-2,74.5,72.5
Valencia,22,15,57.0,72.0
Celtic,21,1,67.0,68.0
Borussia Mönchengladbach,47,15,52.0,67.0
Young Boys,11,2,62.0,64.0
Anderlecht,9,-4,63.5,59.5
Galatasaray,23,1,56.0,57.0
Ludogorets Razgrad,21,-2,53.0,51.0
Leicester City,4,2,45.0,47.0
Athletic Bilbao,2,-4,46.0,42.0
BATE Borisov,8,1,37.0,38.0
Istanbul Basaksehir,7,-2,39.5,37.5
Spartak Moscow,9,4,30.5,34.5
Ferencváros,5,-4,38.5,34.5
