Round Number,Home Team,Away Team,Home Goals,Away Goals
1,Paris Saint-Germain,Malmo FF,2,0
1,Real Madrid,Shakhtar Donetsk,4,0
1,PSV,Manchester United,2,1
1,Wolfsburg,CSKA Moscow,1,0
1,Benfica,Astana,2,0
1,Manchester City,Juventus,1,2
1,Atletico de Madrid,Galatasaray,2,0
1,Sevilla,Borussia Mönchengladbach,3,0
1,Chelsea,Maccabi Tel Aviv,4,0
1,Dinamo Zagreb,Arsenal,2,1
1,Olympiacos,Bayern Munich,0,3
1,FC Porto,Dynamo Kyiv,2,2
1,FC Barcelona,AS Roma,6,1
1,BATE Borisov,Bayer Leverkusen,1,4
1,Lyon,Valencia,0,1
1,Gent,FC Zenit,1,2
2,CSKA Moscow,PSV,3,2
2,Manchester United,Wolfsburg,2,1
2,Malmo FF,Real Madrid,0,2
2,Astana,Galatasaray,2,2
2,Shakhtar Donetsk,Paris Saint-Germain,0,3
2,Atletico de Madrid,Benfica,1,2
2,Borussia Mönchengladbach,Manchester City,1,2
2,Juventus,Sevilla,2,0
2,Bayer Leverkusen,FC Barcelona,1,1
2,AS Roma,BATE Borisov,1,1
2,Arsenal,Olympiacos,2,3
2,Dynamo Kyiv,FC Porto,2,2
2,FC Zenit,Gent,2,1
2,Valencia,Lyon,0,1
2,Maccabi Tel Aviv,Chelsea,0,4
2,Bayern Munich,Dinamo Zagreb,5,0
3,Real Madrid,Paris Saint-Germain,1,0
3,Shakhtar Donetsk,Malmo FF,0,3
3,CSKA Moscow,Borussia Mönchengladbach,1,1
3,Manchester United,CSKA Moscow,1,0
3,Wolfsburg,PSV,2,0
3,Atletico de Madrid,Astana,4,0
3,Sevilla,Manchester City,1,3
3,Juventus,Borussia Mönchengladbach,0,0
3,Paris Saint-Germain,Real Madrid,0,0
3,Malmo FF,Shakhtar Donetsk,1,0
3,Manchester City,Sevilla,2,1
3,Galatasaray,Benfica,2,1
3,PSV,Wolfsburg,2,0
3,Atletico de Madrid,Astana,4,0
3,Benfica,Galatasaray,2,1
3,Borussia Mönchengladbach,Juventus,1,1
3,Bayer Leverkusen,AS Roma,4,4
3,FC Barcelona,BATE Borisov,3,0
3,Chelsea,Dynamo Kyiv,2,1
3,FC Porto,Maccabi Tel Aviv,2,0
3,Arsenal,Bayern Munich,2,0
3,Olympiacos,Dinamo Zagreb,2,1
3,FC Zenit,Valencia,2,0
3,Gent,Valencia,1,0
3,Lyon,FC Zenit,0,2
3,Lyon,Gent,1,2
4,Arsenal,Bayern Munich,2,0
4,Olympiacos,Dinamo Zagreb,2,1
4,FC Porto,Maccabi Tel Aviv,2,0
4,Chelsea,Dynamo Kyiv,2,1
4,FC Barcelona,BATE Borisov,3,0
4,Bayer Leverkusen,AS Roma,4,4
4,Benfica,Galatasaray,2,1
4,Atletico de Madrid,Astana,4,0
4,PSV,Wolfsburg,2,0
4,Galatasaray,Benfica,2,1
4,Juventus,Borussia Mönchengladbach,0,0
4,Paris Saint-Germain,Real Madrid,0,0
4,Malmo FF,Shakhtar Donetsk,1,0
4,Manchester City,Sevilla,2,1
4,CSKA Moscow,Borussia Mönchengladbach,1,1
4,Manchester United,CSKA Moscow,1,0
4,Wolfsburg,PSV,2,0
5,Manchester United,PSV,0,0
5,CSKA Moscow,Wolfsburg,0,2
5,Malmo FF,Paris Saint-Germain,0,5
5,Real Madrid,Shakhtar Donetsk,4,3
5,Atletico de Madrid,FC Barcelona,2,0
5,Galatasaray,Astana,1,1
5,Benfica,Atletico de Madrid,1,2
5,Juventus,Manchester City,1,0
5,Borussia Mönchengladbach,Sevilla,4,2
5,CSKA Moscow,PSV,3,2
5,Malmo FF,Paris Saint-Germain,0,5
5,Real Madrid,Shakhtar Donetsk,4,3
5,Atletico de Madrid,FC Barcelona,2,0
5,Galatasaray,Astana,1,1
5,Benfica,Atletico de Madrid,1,2
5,Juventus,Manchester City,1,0
5,Borussia Mönchengladbach,Sevilla,4,2
5,Lyon,FC Zenit,0,2
5,Gent,Valencia,1,0
5,Olympiacos,Arsenal,0,3
5,Dynamo Kyiv,FC Porto,0,2
5,BATE Borisov,Bayer Leverkusen,1,1
5,Chelsea,FC Porto,2,0
5,FC Barcelona,AS Roma,6,1
5,Dynamo Kyiv,FC Porto,0,2
5,BATE Borisov,Bayer Leverkusen,1,1
5,Chelsea,FC Porto,2,0
5,FC Barcelona,AS Roma,6,1
5,Bayer Leverkusen,AS Roma,4,4
5,BATE Borisov,FC Barcelona,0,3
5,FC Porto,Chelsea,2,0
