Round Number,Home Team,Away Team,Result,Home Goals,Away Goals
1,Benfica,CSKA Moscow,1 - 2,1.0,2.0
1,Manchester United,Basel,3 - 0,3.0,0.0
1,Bayern Munich,Anderlecht,3 - 0,3.0,0.0
1,Celtic,Paris Saint-Germain,0 - 5,0.0,5.0
1,Chelsea,Qarabag,6 - 0,6.0,0.0
1,Roma,Atlético Madrid,0 - 0,0.0,0.0
1,Barcelona,Juventus,3 - 0,3.0,0.0
1,Olympiacos,Sporting CP,2 - 3,2.0,3.0
1,Maribor,Spartak Moscow,1 - 1,1.0,1.0
1,Liverpool,Sevilla,2 - 2,2.0,2.0
1,Feyenoord,Manchester City,0 - 4,0.0,4.0
1,Shakhtar Donetsk,Napoli,2 - 1,2.0,1.0
1,RB Leipzig,Monaco,1 - 1,1.0,1.0
1,Porto,Besiktas,1 - 3,1.0,3.0
1,Real Madrid,APOEL,3 - 0,3.0,0.0
1,Tottenham Hotspur,Borussia Dortmund,3 - 1,3.0,1.0
2,Sevilla,Maribor,3 - 0,3.0,0.0
2,Spartak Moscow,Liverpool,1 - 1,1.0,1.0
2,Napoli,Feyenoord,3 - 1,3.0,1.0
2,Manchester City,Shakhtar Donetsk,2 - 0,2.0,0.0
2,Besiktas,RB Leipzig,2 - 0,2.0,0.0
2,Monaco,Porto,0 - 3,0.0,3.0
2,Borussia Dortmund,Real Madrid,1 - 3,1.0,3.0
2,APOEL,Tottenham Hotspur,0 - 3,0.0,3.0
2,Qarabag,Roma,1 - 2,1.0,2.0
2,Basel,Benfica,5 - 0,5.0,0.0
2,CSKA Moscow,Manchester United,1 - 4,1.0,4.0
2,Paris Saint-Germain,Bayern Munich,3 - 0,3.0,0.0
2,Anderlecht,Celtic,0 - 3,0.0,3.0
2,Atlético Madrid,Chelsea,1 - 2,1.0,2.0
2,Sporting CP,Barcelona,0 - 1,0.0,1.0
2,Juventus,Olympiacos,2 - 0,2.0,0.0
3,Spartak Moscow,Sevilla,5 - 1,5.0,1.0
3,Maribor,Liverpool,0 - 7,0.0,7.0
3,Manchester City,Napoli,2 - 1,2.0,1.0
3,Feyenoord,Shakhtar Donetsk,1 - 2,1.0,2.0
3,Monaco,Besiktas,1 - 2,1.0,2.0
3,RB Leipzig,Porto,3 - 2,3.0,2.0
3,APOEL,Borussia Dortmund,1 - 1,1.0,1.0
3,Real Madrid,Tottenham Hotspur,1 - 1,1.0,1.0
3,Qarabag,Atlético Madrid,0 - 0,0.0,0.0
3,CSKA Moscow,Basel,0 - 2,0.0,2.0
3,Benfica,Manchester United,0 - 1,0.0,1.0
3,Anderlecht,Paris Saint-Germain,0 - 4,0.0,4.0
3,Bayern Munich,Celtic,3 - 0,3.0,0.0
3,Chelsea,Roma,3 - 3,3.0,3.0
3,Juventus,Sporting CP,2 - 1,2.0,1.0
3,Barcelona,Olympiacos,3 - 1,3.0,1.0
4,Basel,CSKA Moscow,1 - 2,1.0,2.0
4,Manchester United,Benfica,2 - 0,2.0,0.0
4,Paris Saint-Germain,Anderlecht,5 - 0,5.0,0.0
4,Celtic,Bayern Munich,1 - 2,1.0,2.0
4,Atlético Madrid,Qarabag,1 - 1,1.0,1.0
4,Roma,Chelsea,3 - 0,3.0,0.0
4,Sporting CP,Juventus,1 - 1,1.0,1.0
4,Olympiacos,Barcelona,0 - 0,0.0,0.0
4,Besiktas,Monaco,1 - 1,1.0,1.0
4,Sevilla,Spartak Moscow,2 - 1,2.0,1.0
4,Liverpool,Maribor,3 - 0,3.0,0.0
4,Napoli,Manchester City,2 - 4,2.0,4.0
4,Shakhtar Donetsk,Feyenoord,3 - 1,3.0,1.0
4,Porto,RB Leipzig,3 - 1,3.0,1.0
4,Borussia Dortmund,APOEL,1 - 1,1.0,1.0
4,Tottenham Hotspur,Real Madrid,3 - 1,3.0,1.0
5,Spartak Moscow,Maribor,1 - 1,1.0,1.0
5,Besiktas,Porto,1 - 1,1.0,1.0
5,Sevilla,Liverpool,3 - 3,3.0,3.0
5,Manchester City,Feyenoord,1 - 0,1.0,0.0
5,Napoli,Shakhtar Donetsk,3 - 0,3.0,0.0
