Round Number,Home Team,Away Team,Home Goals,Away Goals,Home Shots,Away Shots,Home Shots Keeper,Away Shots Keeper,Home Possesion,Away Possesion,Home Passes,Away Passes,Home Passes Completed,Away Passes Completed,Home Tackles,Away Tackles,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Offside,Away Offside,Home Corners,Away Corners
1,Dinamo Zagreb,Chelsea,1,0,6,15,3,3,31,69,314,656,75,86,15,15,1,2,0,0,0,7,1,4
1,Borussia Dortmund,Copenhagen,3 , 0,15, 7, 4, 2, 63, 37, 673, 396, 0, 0, 9, 8, 0, 2, 0, 0, 1, 1, 4, 5
1,Salzburg,AC Milan,1 , 1,16,14,4,3,34,66,258,489,69,81,10,19,2,4,0,0,0,3,3,5
1,Celtic,Real Madrid,0 , 3,10,12,4,6,35,65,451,845,86,93,9,4,1,1,0,0,1,2,5,3
1,Leipzig,Shakhtar Donetsk,1 , 4,13,5,2,4,68,32,628,305,87,80,11,12,1,4,0,0,2,0,9,1
1,Sevilla,Manchester City,0 , 4,6,24,1,10,38,62,372,606,79,90,9,8,1,0,0,0,2,2,1,7
1,Paris Saint-Germain,Juventus,2 , 1,15,13,6,4,58,42,649,477,92,90,11,18,2,3,0,0,1,4,1,1
1,Benfica,M. Haifa,2 , 0,14,7,5,2,57,43,520,404,84,78,13,12,1,2,0,0,1,2,2,4
1,Ajax,Rangers,4 , 0,17,4,9,1,76,24,808,259,92,77,8,4,0,1,0,0,4,4,7,2
1,Frankfurt,Sporting CP,0 , 3,11,8,2,5,43,57,431,553,80,82,11,7,2,1,0,0,5,0,1,1
1,Napoli,Liverpool,4 , 1,18,15,9,7,38,62,383,584,81,88,7,13,1,2,0,0,6,0,3,12
1,Atletico de Madrid,FC Porto,2 , 1,10,17,3,3,54,46,504,439,82,79,12,13,2,2,0,1,2,0,2,6
1,Club Brugge,Bayer Leverkusen,1 , 0,9,14,3,3,47,53,483,523,81,82,4,11,1,3,0,0,2,7,6,4
1,FC Barcelona,Plzen,5 , 1,20,8,11,1,77,23,738,223,91,71,5,8,0,4,0,0,1,3,10,1
1,Internazionale,Bayern Munich,0 , 2,9,21,2,11,44,56,478,622,83,87,9,11,1,1,0,0,4,1,5,3
1,Tottenham,Arsenal,2 , 0,18,9,2,1,49,51,497,509,85,86,16,9,2,2,0,1,0,1,5,3
