Round Number,Home Team,Away Team,Result,Winner,
1,AC Milan,Newcastle,0 - 0,Draw,,
1,Young Boys,Leipzig,1 - 3,Leipzig,,
1,Feyenoord,Celtic,2 - 0,Feyenoord,,
1,Lazio,Atletico de Madrid,1 - 1,Draw,,
1,Paris,Borussia Dortmund,2 - 0,Paris,,
1,Manchester City,Crvena zvezda,3 - 1,Man City,,
1,FC Barcelona,Antwerp,5 - 0,Barcelona,,
1,Shakhtar Donetsk,FC Porto,1 - 3,FC Porto,,
1,Galatasaray,Copenhagen,2 - 2,Draw,,
1,Real Madrid,Union Berlin,1 - 0,Real Madrid,,
1,Bayern Munich,Manchester United,4 - 3,Bayern,,
1,Sevilla,Lens,1 - 1,Draw,,
1,Arsenal,PSV,4 - 0,Arsenal,,
1,Braga,Napoli,1 - 2,Napoli,,
1,Real Sociedad,Internazionale,1 - 1,Draw,,
1,Benfica,Salzburg,0 - 2,Salzburg,,
2,Union Berlin,Braga,2 - 3,Braga,,
2,Salzburg,Real Sociedad,0 - 2,Real Sociedad,,
2,Manchester United,Galatasaray,2 - 3,Galatasaray,,
2,Copenhagen,Bayern Munich,1 - 2,Bayern,,
2,Lens,Arsenal,2 - 1,Lens,,
2,PSV,Sevilla,2 - 2,Draw,,
2,Napoli,Real Madrid,2 - 3,Real Madrid,,
2,Internazionale,Benfica,1 - 0,Inter,,
2,Atletico de Madrid,Feyenoord,3 - 2,Atlético de Madrid,,
2,Antwerp,Shakhtar Donetsk,2 - 3,Shakhtar Donetsk,,
2,Celtic,Lazio,1 - 2,Lazio,,
2,Borussia Dortmund,AC Milan,0 - 0,Draw,,
2,Newcastle,Paris,4 - 1,Newcastle,,
2,Leipzig,Manchester City,1 - 3,Man City,,
2,Crvena zvezda,Young Boys,2 - 2,Draw,,
2,FC Porto,FC Barcelona,0 - 1,Barcelona,,
3,Galatasaray,Bayern Munich,1 - 3,Bayern,,
3,Internazionale,Salzburg,2 - 1,Inter,,
3,Manchester United,Copenhagen,1 - 0,Man United,,
3,Sevilla,Arsenal,1 - 2,Arsenal,,
3,Lens,PSV,1 - 1,Draw,,
3,Braga,Real Madrid,1 - 2,Real Madrid,,
3,Union Berlin,Napoli,0 - 1,Napoli,,
3,Benfica,Real Sociedad,0 - 1,Real Sociedad,,
3,Feyenoord,Lazio,3 - 1,Feyenoord,,
3,FC Barcelona,Shakhtar Donetsk,2 - 1,Barcelona,,
3,Celtic,Atletico de Madrid,2 - 2,Draw,,
3,Paris,AC Milan,3 - 0,Paris,,
3,Newcastle,Borussia Dortmund,0 - 1,Dortmund,,
3,Leipzig,Crvena zvezda,3 - 1,Leipzig,,
3,Young Boys,Manchester City,1 - 3,Man City,,
3,Antwerp,FC Porto,1 - 4,FC Porto,,
4,Borussia Dortmund,Newcastle,2 - 0,Dortmund,,
4,Shakhtar Donetsk,FC Barcelona,1 - 0,Shakhtar Donetsk,,
4,Atletico de Madrid,Celtic,6 - 0,Atlético de Madrid,,
4,Lazio,Feyenoord,1 - 0,Lazio,,
4,AC Milan,Paris,2 - 1,Milan,,
4,Manchester City,Young Boys,3 - 0,Man City,,
4,Crvena zvezda,Leipzig,1 - 2,Leipzig,,
4,FC Porto,Antwerp,2 - 0,FC Porto,,
4,Napoli,Union Berlin,1 - 1,Draw,,
4,Real Sociedad,Benfica,3 - 1,Real Sociedad,,
4,Bayern Munich,Galatasaray,2 - 1,Bayern,,
4,Copenhagen,Manchester United,4 - 3,Copenhagen,,
4,Arsenal,Sevilla,2 - 0,Arsenal,,
4,PSV,Lens,1 - 0,PSV,,
4,Real Madrid,Braga,3 - 0,Real Madrid,,
4,Salzburg,Internazionale,0 - 1,Inter,,
5,Lazio,Celtic,2 - 0,Lazio,,
5,Shakhtar Donetsk,Antwerp,1 - 0,Shakhtar Donetsk,,
